"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","WEB - Validação do processo de checkout.","0","0","Compra não finalizada código postal incorreto","0"
"0","","0","API - Validação do cliclo de autenticação do usuário","3","0","Testes de login parametrizados","0"
"0","","0","API - Validação de Marcas","1","0","Editar uma marca existente","0"
"0","","0","API - Validação de Marcas","1","0","Criar uma nova marca","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com sucesso","0"
"0","","0","API - Validação de Marcas","1","0","Listar todas as marcas","0"
"0","","0","API - Validação de Marcas","1","0","Excluir uma marca existente","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com insucesso senha incorreta","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com insucesso usuário inexistente","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com insucesso usuário inválido","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com insucesso usuário vazio","0"
"1","","0","WEB - Validação do cliclo de autenticação do usuário","0","0","Login com insucesso senha vazio","0"
"1","","0","WEB - Validação do processo de checkout.","0","0","Compra não finalizada número do cartão incorreto","0"
"1","","0","WEB - Validação do processo de checkout.","0","0","Compra efetuada com sucesso via cartão de crédito","0"
"0","","0","API - Validação do cliclo de autenticação do usuário","1","0","Login bem-sucedido com credenciais válidas","0"
